s	P
0	1920483.02519069
0.01	30916.5541685371
0.02	5596.26246521389
0.03	1217.34768326429
0.04	411.880647370714
0.05	292.648725338824
0.06	188.417160621875
0.07	132.3300775375
0.08	114.204791870625
0.09	89.0602331033333
0.1	94.3453471826316
0.11	73.8250578092858
0.12	63.1062750833333
0.13	50.6646809435714
0.14	49.4876216714286
0.15	47.1996208564706
0.16	48.637967551875
0.17	51.510205530625
0.18	61.077901381875
0.19	64.2956145
0.2	84.0827457721053
0.21	83.8745541278572
0.22	85.3821169016667
0.23	71.9419625
0.24	63.8182320264286
0.25	59.1590863558824
0.26	53.13037890125
0.27	46.57907765625
0.28	39.74367723
0.29	39.40739668
0.3	34.256827031579
0.31	28.0491488914286
0.32	26.0769784683333
0.33	22.1357996335714
0.34	21.2110216342857
0.35	20.1879875982353
0.36	19.93755299
0.37	18.51192114125
0.38	19.145245480625
0.39	16.9684764708333
0.4	18.8474495105263
0.41	17.7822251864286
0.42	18.3915777811111
0.43	17.5072000171429
0.44	17.8402596221429
0.45	17.4313727529412
0.46	17.31939989875
0.47	16.357616253125
0.48	16.51921164125
0.49	14.3275309625
0.5	4.26168052625034

