s	P
0	19751248.5657895
0.01	414596.529285714
0.02	55320.3998888889
0.03	12730.7962071429
0.04	4689.10900769231
0.05	3044.78257647059
0.06	1946.8910875
0.07	1428.9432175
0.08	1147.06711
0.09	1011.33423
0.1	950.467815789474
0.11	799.150085714286
0.12	643.693055
0.13	515.421696428571
0.14	513.963362307692
0.15	465.941008823529
0.16	470.82464875
0.17	493.38648625
0.18	582.688553125
0.19	711.529492727273
0.2	812.172381578947
0.21	871.348945714286
0.22	845.760018333333
0.23	789.71275
0.24	701.137535384615
0.25	604.645965294118
0.26	550.357245625
0.27	494.192991875
0.28	449.241579444445
0.29	411.225908888889
0.3	341.396720526316
0.31	305.013672
0.32	263.680823333333
0.33	245.142575
0.34	240.525908230769
0.35	209.655709352941
0.36	201.8279
0.37	191.9872998125
0.38	198.33362475
0.39	203.243469545455
0.4	186.722821842105
0.41	190.951819428571
0.42	183.829392444444
0.43	188.482598571429
0.44	192.845431461538
0.45	177.452921470588
0.46	176.1196365
0.47	168.211534625
0.48	168.7710546875
0.49	164.810844454545
0.5	144.453484894737
0.51	140.344591571429
0.52	128.204984555556
0.53	120.867697785714
0.54	117.463328076923
0.55	103.262302411765
0.56	100.486942944444
0.57	90.4918337222222
0.58	89.4960553333333
0.59	88.6299317272727
0.6	79.9091985789474
0.61	80.0097392857143
0.62	72.9955436111111
0.63	73.4416635
0.64	71.1253295384615
0.65	65.8794230588235
0.66	66.0878198125
0.67	63.358018125
0.68	61.4223665625
0.69	62.0905149090909
0.7	56.9521956842105
0.71	58.3217990714286
0.72	56.6982308333333
0.73	57.1022970714286
0.74	57.3578910769231
0.75	53.9005430588235
0.76	55.467164125
0.77	54.1784080625
0.78	55.2316440625
0.79	56.9213341818182
0.8	52.7541560526316
0.81	53.4764843571429
0.82	51.6689138333333
0.83	53.5156353571429
0.84	54.3804253846154
0.85	50.6907884117647
0.86	52.494061875
0.87	50.18854575
0.88	50.3815755625
0.89	50.2530489090909
0.9	45.0521373684211
0.91	44.15189
0.92	40.9064693888889
0.93	39.7209967142857
0.94	38.813884
0.95	34.0362855294118
0.96	32.938605875
0.97	30.134904875
0.98	29.390241125
0.99	28.7078321545455

